transaction_id,amount,payment_method,bank_response_code,network_latency_ms,fraud_score,prior_failed_attempts_24h,customer_tenure_days,account_balance_signal,hour_of_day,is_recurring_subscription,true_failure_cause
TXN102417,7292.02,netbanking,51,169.8,0.012,0,1007,0.065,17,1,insufficient_funds
TXN102418,2689.29,credit_card,59,325.1,0.811,1,779,0.786,16,1,fraud_false_positive
TXN102419,1836.76,netbanking,51,246.6,0.126,1,950,0.344,5,0,insufficient_funds
TXN102420,3681.65,debit_card,91,404.5,0.094,2,63,0.467,11,0,bank_timeout
TXN102421,5322.49,debit_card,51,90.4,0.22,0,617,0.163,17,0,insufficient_funds
TXN102422,2994.64,debit_card,59,143.9,0.719,0,1230,0.733,23,0,fraud_false_positive
TXN102423,5115.74,debit_card,51,191.2,0.271,0,462,0.489,10,0,insufficient_funds
TXN102424,1682.33,credit_card,91,398.3,0.272,0,254,0.35,17,0,bank_timeout
TXN102425,2863.6,debit_card,96,288.9,0.224,0,640,0.491,18,0,bank_timeout
TXN102426,1054.43,debit_card,51,129.5,0.126,3,292,0.337,23,0,insufficient_funds
TXN102427,286.36,debit_card,21,697.3,0.285,1,92,0.442,8,0,network_error
TXN102428,521.94,netbanking,51,185.3,0.308,1,601,0.1,10,1,insufficient_funds
TXN102429,528.65,upi,91,377.6,0.105,1,1249,0.649,4,1,bank_timeout
TXN102430,1048.03,credit_card,96,289.6,0.142,0,196,0.555,22,0,bank_timeout
TXN102431,5976.44,debit_card,63,174.0,0.641,2,1554,0.662,23,0,fraud_false_positive
TXN102432,1109.58,debit_card,21,449.4,0.15,0,473,0.532,10,0,network_error
TXN102433,2179.68,credit_card,21,471.7,0.388,0,354,0.192,0,1,network_error
TXN102434,4111.17,credit_card,96,557.7,0.228,1,635,0.448,3,1,network_error
TXN102435,1579.71,debit_card,59,192.3,0.677,1,77,0.698,23,1,fraud_false_positive
TXN102436,3342.53,netbanking,91,405.8,0.146,3,268,0.141,6,1,bank_timeout
TXN102437,3983.75,debit_card,51,124.1,0.229,0,765,0.174,20,0,insufficient_funds
TXN102438,2618.23,wallet,51,239.2,0.169,1,459,0.466,8,0,insufficient_funds
TXN102439,3511.57,netbanking,61,238.8,0.074,1,818,0.172,7,0,insufficient_funds
TXN102440,3030.2,debit_card,51,246.5,0.359,1,81,0.205,5,1,insufficient_funds
TXN102441,2550.79,upi,21,480.3,0.07,0,1138,0.566,4,1,network_error
TXN102442,1613.2,credit_card,96,422.8,0.165,0,175,0.833,15,0,bank_timeout
TXN102443,762.73,upi,5,148.5,0.795,0,321,0.57,13,0,fraud_false_positive
TXN102444,5292.74,debit_card,59,218.6,0.804,0,254,0.889,4,0,fraud_false_positive
TXN102445,973.93,debit_card,51,217.5,0.139,1,545,0.078,13,0,insufficient_funds
TXN102446,831.94,upi,51,203.4,0.173,0,303,0.38,17,0,insufficient_funds
TXN102447,2857.71,credit_card,51,128.2,0.04,0,718,0.435,10,0,insufficient_funds
TXN102448,1806.17,upi,51,209.3,0.185,2,958,0.186,21,0,insufficient_funds
TXN102449,3228.63,upi,51,193.1,0.044,1,954,0.155,10,1,insufficient_funds
TXN102450,4940.16,debit_card,59,157.7,0.737,0,360,0.588,2,1,fraud_false_positive
TXN102451,2147.39,credit_card,21,396.1,0.035,0,14,0.38,6,0,network_error
TXN102452,3495.69,upi,96,341.1,0.516,1,190,0.494,14,0,bank_timeout
TXN102453,3601.67,debit_card,5,534.9,0.195,0,137,0.708,10,1,network_error
TXN102454,2655.85,netbanking,61,153.3,0.243,0,175,0.051,10,1,insufficient_funds
TXN102455,9817.46,credit_card,51,194.1,0.111,0,92,0.152,6,0,insufficient_funds
TXN102456,4434.8,debit_card,63,269.9,0.737,0,130,0.781,23,0,fraud_false_positive
TXN102457,2700.93,credit_card,51,171.8,0.444,0,196,0.061,7,1,insufficient_funds
TXN102458,2988.01,credit_card,51,263.9,0.369,0,290,0.137,19,0,insufficient_funds
TXN102459,866.06,credit_card,96,337.4,0.005,1,4,0.387,10,0,bank_timeout
TXN102460,3847.38,credit_card,51,190.3,0.284,1,357,0.146,20,0,insufficient_funds
TXN102461,990.97,credit_card,91,279.6,0.039,1,100,0.519,18,0,bank_timeout
TXN102462,6482.84,debit_card,68,370.7,0.166,0,64,0.606,17,1,bank_timeout
TXN102463,1633.59,credit_card,96,649.6,0.277,0,597,0.452,6,0,network_error
TXN102464,3978.46,debit_card,51,250.2,0.029,1,458,0.201,10,0,insufficient_funds
TXN102465,1583.01,upi,61,159.1,0.123,0,467,0.525,1,0,insufficient_funds
TXN102466,1572.69,credit_card,51,122.5,0.089,0,212,0.363,2,0,insufficient_funds
TXN102467,399.71,credit_card,59,182.6,0.795,0,214,0.732,3,0,fraud_false_positive
TXN102468,2178.46,credit_card,91,278.2,0.123,0,216,0.405,15,1,bank_timeout
TXN102469,559.89,wallet,63,267.2,0.624,0,479,0.78,15,1,fraud_false_positive
TXN102470,2369.83,debit_card,65,178.6,0.01,1,282,0.077,23,1,insufficient_funds
TXN102471,1028.63,credit_card,65,155.3,0.171,1,80,0.064,7,0,insufficient_funds
TXN102472,1572.61,netbanking,63,145.5,0.45,0,1109,0.786,23,0,fraud_false_positive
TXN102473,601.63,credit_card,65,263.0,0.332,1,144,0.463,10,0,insufficient_funds
TXN102474,1880.95,credit_card,51,169.1,0.319,1,78,0.065,18,0,insufficient_funds
TXN102475,2506.48,credit_card,68,309.2,0.355,0,1275,0.533,6,1,bank_timeout
TXN102476,1431.04,upi,21,564.5,0.081,1,1605,0.163,17,0,network_error
TXN102477,2179.1,credit_card,5,456.9,0.156,0,323,0.454,22,1,network_error
TXN102478,852.52,upi,51,189.1,0.239,3,385,0.066,17,0,insufficient_funds
TXN102479,2812.02,upi,96,476.4,0.178,0,97,0.798,18,0,network_error
TXN102480,4764.2,debit_card,61,206.7,0.133,1,460,0.111,23,0,insufficient_funds
TXN102481,1685.77,debit_card,21,533.1,0.055,0,689,0.35,5,0,network_error
TXN102482,3895.98,debit_card,91,358.9,0.247,1,1111,0.87,0,0,bank_timeout
TXN102483,3638.44,credit_card,91,426.8,0.358,1,324,0.841,22,1,bank_timeout
TXN102484,513.71,credit_card,21,592.1,0.178,0,172,0.314,5,1,network_error
TXN102485,1672.58,wallet,51,196.1,0.216,0,418,0.289,0,0,insufficient_funds
TXN102486,1681.06,upi,21,523.2,0.187,0,176,0.26,18,0,network_error
TXN102487,552.15,netbanking,96,333.0,0.388,0,441,0.395,8,0,network_error
TXN102488,8783.58,wallet,51,183.9,0.052,0,1654,0.228,8,0,insufficient_funds
TXN102489,3267.96,upi,68,441.7,0.133,0,982,0.714,0,0,bank_timeout
TXN102490,2598.08,credit_card,51,201.9,0.226,0,822,0.036,21,0,insufficient_funds
TXN102491,2743.86,credit_card,96,525.8,0.19,1,1024,0.333,2,0,network_error
TXN102492,2111.36,debit_card,5,192.3,0.835,1,327,0.593,16,0,fraud_false_positive
TXN102493,3711.22,upi,68,439.4,0.192,0,336,0.335,5,0,bank_timeout
TXN102494,7273.23,credit_card,51,208.0,0.133,0,529,0.114,3,1,insufficient_funds
TXN102495,1655.29,debit_card,96,354.8,0.201,1,1343,0.593,15,0,bank_timeout
TXN102496,894.21,debit_card,5,458.6,0.1,0,128,0.438,22,0,network_error
TXN102497,4754.77,upi,91,391.7,0.221,0,339,0.713,21,0,bank_timeout
TXN102498,3788.12,netbanking,51,244.9,0.203,1,208,0.115,23,1,insufficient_funds
TXN102499,3064.35,credit_card,61,245.9,0.117,3,177,0.274,10,0,insufficient_funds
TXN102500,2283.82,credit_card,51,211.7,0.054,2,27,0.541,7,0,insufficient_funds
TXN102501,374.8,credit_card,96,520.8,0.456,0,190,0.712,16,1,network_error
TXN102502,4135.69,credit_card,51,223.1,0.372,1,33,0.168,5,0,insufficient_funds
TXN102503,3548.66,debit_card,21,628.5,0.182,0,3709,0.353,14,0,network_error
TXN102504,3800.6,credit_card,91,432.5,0.21,1,120,0.567,11,0,bank_timeout
TXN102505,6950.1,debit_card,51,214.0,0.092,0,15,0.354,2,1,insufficient_funds
TXN102506,5093.8,credit_card,51,195.5,0.217,1,128,0.298,20,1,insufficient_funds
TXN102507,1984.12,netbanking,91,339.3,0.306,0,1405,0.728,9,1,bank_timeout
TXN102508,1418.04,credit_card,21,432.0,0.199,0,49,0.671,3,0,network_error
TXN102509,1321.76,credit_card,51,208.8,0.332,1,306,0.152,2,1,insufficient_funds
TXN102510,2053.43,debit_card,59,248.4,0.865,1,2423,0.75,5,1,fraud_false_positive
TXN102511,1703.65,wallet,91,439.8,0.027,1,16,0.697,8,1,bank_timeout
TXN102512,5412.62,debit_card,51,150.1,0.267,3,271,0.094,13,1,insufficient_funds
TXN102513,1708.83,debit_card,21,443.6,0.359,2,488,0.417,3,0,network_error
TXN102514,2415.88,debit_card,51,233.6,0.286,3,161,0.306,10,0,insufficient_funds
TXN102515,507.04,credit_card,51,168.6,0.058,0,1207,0.225,15,1,insufficient_funds
TXN102516,1455.96,debit_card,59,261.3,0.711,0,941,0.524,22,0,fraud_false_positive
TXN102517,1363.22,wallet,68,222.6,0.274,1,20,0.516,18,1,bank_timeout
TXN102518,1369.65,credit_card,51,192.8,0.335,1,260,0.188,1,0,insufficient_funds
TXN102519,1746.06,netbanking,51,152.2,0.123,3,419,0.312,14,1,insufficient_funds
TXN102520,1463.47,wallet,51,140.1,0.126,1,514,0.276,14,0,insufficient_funds
TXN102521,741.58,credit_card,51,129.2,0.297,1,549,0.304,15,1,insufficient_funds
TXN102522,3686.03,credit_card,61,216.8,0.278,2,132,0.192,23,0,insufficient_funds
TXN102523,3002.08,credit_card,61,199.7,0.09,2,25,0.266,20,1,insufficient_funds
TXN102524,3213.24,credit_card,96,517.1,0.098,2,266,0.747,22,1,network_error
TXN102525,585.48,debit_card,96,476.7,0.225,0,602,0.658,5,1,network_error
TXN102526,2219.58,upi,96,286.6,0.327,0,39,0.764,3,0,bank_timeout
TXN102527,1181.07,debit_card,96,287.9,0.129,1,48,0.693,21,0,bank_timeout
TXN102528,2410.7,netbanking,21,550.6,0.226,0,259,0.494,21,1,network_error
TXN102529,1683.56,debit_card,91,396.0,0.553,1,1294,0.601,18,0,bank_timeout
TXN102530,2988.19,credit_card,51,140.5,0.066,0,108,0.191,3,1,insufficient_funds
TXN102531,1428.18,credit_card,5,498.5,0.066,0,708,0.294,14,1,network_error
TXN102532,1220.76,debit_card,51,219.8,0.134,0,239,0.075,9,1,insufficient_funds
TXN102533,288.67,netbanking,96,350.8,0.259,0,548,0.67,10,0,bank_timeout
TXN102534,1585.81,debit_card,91,456.2,0.045,1,845,0.532,21,0,bank_timeout
TXN102535,5158.42,debit_card,59,158.6,0.699,0,788,0.751,12,1,fraud_false_positive
TXN102536,4666.74,upi,59,226.2,0.751,0,959,0.789,23,1,fraud_false_positive
TXN102537,4448.6,netbanking,96,500.6,0.368,1,299,0.489,2,1,network_error
TXN102538,3103.34,debit_card,51,181.3,0.28,2,839,0.049,1,0,insufficient_funds
TXN102539,7323.84,debit_card,59,262.8,0.83,0,397,0.849,14,0,fraud_false_positive
TXN102540,4589.82,upi,96,401.4,0.096,0,6,0.639,12,1,network_error
TXN102541,605.37,credit_card,91,442.6,0.301,0,1619,0.447,17,1,bank_timeout
TXN102542,2663.18,wallet,96,448.1,0.146,0,61,0.668,1,0,bank_timeout
TXN102543,2034.63,debit_card,51,134.8,0.299,2,156,0.105,13,0,insufficient_funds
TXN102544,5819.9,debit_card,51,230.2,0.257,2,238,0.371,17,0,insufficient_funds
TXN102545,2621.37,upi,51,147.3,0.183,0,418,0.697,1,1,insufficient_funds
TXN102546,4294.28,debit_card,51,106.6,0.248,0,966,0.096,16,0,insufficient_funds
TXN102547,1267.76,upi,51,104.2,0.241,1,64,0.144,22,0,insufficient_funds
TXN102548,2014.55,credit_card,59,148.3,0.807,0,1728,0.466,5,0,fraud_false_positive
TXN102549,5144.16,netbanking,51,222.7,0.058,1,874,0.231,16,0,insufficient_funds
TXN102550,4621.79,netbanking,61,186.8,0.118,1,358,0.058,6,1,insufficient_funds
TXN102551,4344.72,upi,96,459.5,0.177,0,56,0.475,17,1,network_error
TXN102552,1876.56,credit_card,5,454.5,0.321,1,522,0.179,18,1,network_error
TXN102553,2326.12,netbanking,21,525.5,0.451,2,107,0.285,19,1,network_error
TXN102554,1632.22,netbanking,96,708.2,0.345,1,50,0.618,0,1,network_error
TXN102555,5806.14,credit_card,51,188.7,0.179,1,146,0.281,10,0,insufficient_funds
TXN102556,252.97,credit_card,91,460.3,0.054,0,1006,0.419,6,0,bank_timeout
TXN102557,1628.2,credit_card,91,412.2,0.18,0,849,0.52,19,1,bank_timeout
TXN102558,1913.55,debit_card,5,204.6,0.655,0,2688,0.599,23,1,fraud_false_positive
TXN102559,9768.34,debit_card,59,161.1,0.78,0,1200,0.649,13,1,fraud_false_positive
TXN102560,3866.97,upi,5,117.4,0.809,0,157,0.679,4,1,fraud_false_positive
TXN102561,2612.18,netbanking,96,383.9,0.182,0,156,0.379,5,0,network_error
TXN102562,3692.3,debit_card,59,123.8,0.805,0,950,0.784,5,1,fraud_false_positive
TXN102563,3858.31,credit_card,59,197.7,0.752,0,4603,0.724,0,1,fraud_false_positive
TXN102564,1588.08,debit_card,96,633.7,0.216,1,291,0.427,7,0,network_error
TXN102565,2156.9,netbanking,51,105.5,0.529,2,176,0.174,17,1,insufficient_funds
TXN102566,422.68,credit_card,68,381.4,0.464,1,918,0.425,10,1,bank_timeout
TXN102567,650.71,debit_card,5,676.8,0.058,1,735,0.377,4,1,network_error
TXN102568,1408.84,debit_card,61,202.7,0.06,0,114,0.252,11,0,insufficient_funds
TXN102569,951.01,credit_card,51,135.7,0.049,0,42,0.38,17,1,insufficient_funds
TXN102570,2174.01,credit_card,5,447.4,0.126,0,1013,0.771,9,1,network_error
TXN102571,1975.03,credit_card,96,433.9,0.205,0,1539,0.186,6,1,network_error
TXN102572,1487.48,debit_card,51,137.4,0.294,0,57,0.213,15,0,insufficient_funds
TXN102573,3055.94,netbanking,63,154.5,0.564,0,337,0.623,19,0,fraud_false_positive
TXN102574,1487.05,credit_card,5,395.0,0.07,0,566,0.48,0,1,network_error
TXN102575,2418.93,upi,51,145.0,0.245,1,778,0.097,22,0,insufficient_funds
TXN102576,6400.32,wallet,51,157.7,0.289,2,198,0.035,2,1,insufficient_funds
TXN102577,3066.42,credit_card,61,162.5,0.396,1,793,0.281,0,0,insufficient_funds
TXN102578,1882.42,credit_card,51,219.0,0.145,0,902,0.029,0,0,insufficient_funds
TXN102579,5920.32,credit_card,51,226.0,0.202,1,1180,0.181,2,0,insufficient_funds
TXN102580,10261.57,debit_card,59,174.4,0.577,0,397,0.632,9,1,fraud_false_positive
TXN102581,14345.15,upi,59,224.6,0.821,1,657,0.561,1,0,fraud_false_positive
TXN102582,3847.7,upi,51,117.1,0.428,1,138,0.094,2,0,insufficient_funds
TXN102583,2522.98,upi,96,463.1,0.147,0,416,0.694,17,0,bank_timeout
TXN102584,6219.12,upi,61,214.0,0.202,1,19,0.16,0,0,insufficient_funds
TXN102585,626.96,credit_card,21,531.1,0.208,0,140,0.336,13,0,network_error
TXN102586,1280.76,netbanking,5,194.8,0.852,0,656,0.59,2,0,fraud_false_positive
TXN102587,514.86,debit_card,51,171.8,0.15,1,989,0.396,7,0,insufficient_funds
TXN102588,2107.59,netbanking,51,127.1,0.123,0,7,0.077,10,1,insufficient_funds
TXN102589,2283.13,credit_card,96,274.0,0.018,2,20,0.61,2,0,bank_timeout
TXN102590,1043.5,upi,61,225.9,0.168,0,433,0.321,4,0,insufficient_funds
TXN102591,2832.03,upi,91,260.3,0.087,1,22,0.458,3,0,bank_timeout
TXN102592,1411.37,debit_card,68,392.1,0.285,2,149,0.655,2,1,bank_timeout
TXN102593,2580.98,wallet,51,235.4,0.231,0,160,0.195,12,0,insufficient_funds
TXN102594,3852.23,debit_card,65,206.5,0.432,1,44,0.142,19,1,insufficient_funds
TXN102595,3793.67,debit_card,51,176.1,0.184,1,335,0.13,9,1,insufficient_funds
TXN102596,7557.11,credit_card,59,240.0,0.779,0,1677,0.503,7,1,fraud_false_positive
TXN102597,2506.28,upi,61,192.4,0.236,1,362,0.151,6,1,insufficient_funds
TXN102598,2800.08,credit_card,59,178.7,0.698,1,159,0.794,17,0,fraud_false_positive
TXN102599,1882.95,netbanking,68,277.5,0.642,0,1928,0.542,9,0,bank_timeout
TXN102600,1253.84,upi,21,509.6,0.14,0,645,0.263,17,0,network_error
TXN102601,191.58,upi,96,416.5,0.261,0,1421,0.282,13,0,network_error
TXN102602,407.89,credit_card,96,630.7,0.09,0,141,0.501,15,0,network_error
TXN102603,324.98,credit_card,21,623.3,0.226,0,371,0.65,19,0,network_error
TXN102604,3432.38,debit_card,51,244.0,0.089,0,41,0.59,18,0,insufficient_funds
TXN102605,3484.05,debit_card,51,138.5,0.246,1,466,0.091,1,0,insufficient_funds
TXN102606,2847.22,wallet,5,599.8,0.161,0,1608,0.138,12,0,network_error
TXN102607,1666.12,credit_card,91,359.3,0.203,0,40,0.414,13,0,bank_timeout
TXN102608,2185.44,credit_card,63,241.4,0.811,0,301,0.208,23,0,fraud_false_positive
TXN102609,6764.82,debit_card,59,214.5,0.581,1,439,0.351,20,0,fraud_false_positive
TXN102610,3714.57,debit_card,51,135.6,0.071,1,839,0.468,0,1,insufficient_funds
TXN102611,324.21,credit_card,96,601.3,0.134,1,461,0.41,12,0,network_error
TXN102612,3362.17,credit_card,96,480.6,0.238,0,948,0.642,19,0,network_error
TXN102613,11348.68,wallet,51,156.5,0.418,0,69,0.237,4,1,insufficient_funds
TXN102614,2749.37,debit_card,5,201.6,0.848,0,1382,0.843,14,0,fraud_false_positive
TXN102615,1568.16,debit_card,68,470.6,0.152,1,287,0.242,0,0,bank_timeout
TXN102616,502.22,credit_card,96,248.0,0.198,1,752,0.399,15,1,bank_timeout
TXN102617,1210.92,netbanking,68,244.9,0.249,0,260,0.372,16,0,bank_timeout
TXN102618,887.1,upi,51,217.2,0.215,1,478,0.408,19,1,insufficient_funds
TXN102619,3644.12,credit_card,59,250.3,0.473,0,443,0.838,6,1,fraud_false_positive
TXN102620,1400.93,netbanking,91,234.9,0.237,2,569,0.539,1,1,bank_timeout
TXN102621,9663.71,debit_card,59,142.5,0.658,0,121,0.722,16,0,fraud_false_positive
TXN102622,6762.83,credit_card,61,236.5,0.227,1,469,0.441,22,0,insufficient_funds
TXN102623,857.7,debit_card,21,512.7,0.273,1,217,0.666,23,0,network_error
TXN102624,2058.06,upi,51,120.8,0.254,2,14,0.021,1,0,insufficient_funds
TXN102625,4568.75,netbanking,61,180.6,0.294,1,611,0.109,15,1,insufficient_funds
TXN102626,4251.26,upi,59,167.1,0.816,1,789,0.581,2,0,fraud_false_positive
TXN102627,2003.37,credit_card,96,211.2,0.028,0,197,0.468,6,0,bank_timeout
TXN102628,11433.67,debit_card,63,122.1,0.666,0,1257,0.775,14,0,fraud_false_positive
TXN102629,1643.21,credit_card,21,829.5,0.204,1,333,0.347,23,0,network_error
TXN102630,1471.15,debit_card,21,473.1,0.302,0,303,0.271,1,0,network_error
TXN102631,5234.38,wallet,59,131.2,0.851,0,823,0.642,5,0,fraud_false_positive
TXN102632,5683.35,upi,51,128.5,0.48,3,1319,0.31,11,0,insufficient_funds
TXN102633,7711.99,credit_card,59,285.2,0.626,2,123,0.746,8,0,fraud_false_positive
TXN102634,3358.91,upi,5,659.4,0.249,0,447,0.846,20,0,network_error
TXN102635,2991.07,debit_card,51,157.4,0.226,2,260,0.176,19,0,insufficient_funds
TXN102636,1674.07,credit_card,96,472.3,0.416,0,1057,0.796,10,0,network_error
TXN102637,532.79,debit_card,5,740.3,0.255,1,7,0.614,16,0,network_error
TXN102638,2207.09,debit_card,51,159.6,0.339,0,185,0.377,1,0,insufficient_funds
TXN102639,7047.5,netbanking,96,417.8,0.132,3,67,0.619,6,0,bank_timeout
TXN102640,229.25,debit_card,21,485.7,0.048,0,385,0.8,5,0,network_error
TXN102641,1455.38,debit_card,51,179.9,0.092,1,132,0.058,11,0,insufficient_funds
TXN102642,4190.19,debit_card,61,190.9,0.173,3,1409,0.22,11,0,insufficient_funds
TXN102643,2480.95,debit_card,51,117.8,0.324,0,51,0.261,21,0,insufficient_funds
TXN102644,903.74,credit_card,21,597.3,0.15,0,87,0.847,15,1,network_error
TXN102645,3058.74,debit_card,51,204.7,0.239,1,516,0.084,13,0,insufficient_funds
TXN102646,6091.92,netbanking,65,185.6,0.073,0,189,0.337,1,0,insufficient_funds
TXN102647,4095.51,upi,68,334.8,0.169,0,340,0.795,18,0,bank_timeout
TXN102648,932.41,debit_card,96,714.1,0.474,1,34,0.646,5,0,network_error
TXN102649,963.03,credit_card,96,462.1,0.191,0,3793,0.447,0,0,network_error
TXN102650,6388.82,upi,51,200.5,0.087,1,507,0.319,3,0,insufficient_funds
TXN102651,12718.41,wallet,63,249.0,0.931,2,800,0.637,8,1,fraud_false_positive
TXN102652,8131.56,debit_card,59,284.3,0.714,0,1255,0.737,5,1,fraud_false_positive
TXN102653,1655.72,debit_card,51,177.7,0.227,3,559,0.111,14,0,insufficient_funds
TXN102654,2375.1,debit_card,96,722.6,0.122,2,92,0.476,11,0,network_error
TXN102655,876.92,netbanking,96,377.7,0.083,0,1254,0.599,9,0,bank_timeout
TXN102656,2109.42,upi,21,692.8,0.087,1,1377,0.71,4,0,network_error
TXN102657,215.03,debit_card,96,383.2,0.102,0,106,0.445,4,0,bank_timeout
TXN102658,1544.02,credit_card,65,171.7,0.335,1,216,0.147,8,0,insufficient_funds
TXN102659,642.59,debit_card,96,501.0,0.477,1,195,0.231,4,0,network_error
TXN102660,7541.98,upi,51,164.9,0.078,2,134,0.316,12,0,insufficient_funds
TXN102661,6533.81,credit_card,61,129.7,0.058,0,33,0.322,0,1,insufficient_funds
TXN102662,408.4,debit_card,65,219.5,0.109,0,122,0.216,4,1,insufficient_funds
TXN102663,3968.33,upi,51,200.2,0.248,1,476,0.339,15,0,insufficient_funds
TXN102664,6226.96,debit_card,91,344.7,0.193,0,42,0.601,16,1,bank_timeout
TXN102665,273.64,debit_card,96,469.0,0.082,0,397,0.496,11,0,network_error
TXN102666,4995.95,debit_card,59,171.6,0.88,0,3831,0.834,22,0,fraud_false_positive
TXN102667,974.38,debit_card,96,279.3,0.33,1,106,0.583,7,0,bank_timeout
TXN102668,2562.76,wallet,51,197.0,0.143,0,218,0.147,12,1,insufficient_funds
TXN102669,11091.6,upi,63,182.0,0.858,0,874,0.52,17,0,fraud_false_positive
TXN102670,1096.36,credit_card,96,690.9,0.06,0,144,0.526,18,1,network_error
TXN102671,2491.69,netbanking,61,144.9,0.477,3,15,0.247,22,1,insufficient_funds
TXN102672,2088.24,debit_card,51,206.6,0.078,3,113,0.352,7,1,insufficient_funds
TXN102673,1093.1,debit_card,51,163.5,0.449,3,1102,0.447,4,0,insufficient_funds
TXN102674,5002.66,upi,65,189.9,0.204,2,100,0.202,15,0,insufficient_funds
TXN102675,801.92,netbanking,65,256.0,0.351,0,454,0.351,11,0,insufficient_funds
TXN102676,1554.9,debit_card,91,333.3,0.069,0,30,0.3,6,1,bank_timeout
TXN102677,6472.19,credit_card,59,203.2,0.609,0,75,0.546,8,0,fraud_false_positive
TXN102678,3198.53,credit_card,96,423.3,0.102,0,250,0.43,21,1,bank_timeout
TXN102679,5623.44,wallet,51,229.1,0.403,1,699,0.165,18,0,insufficient_funds
TXN102680,926.83,upi,91,353.6,0.348,0,492,0.744,5,1,bank_timeout
TXN102681,1707.01,credit_card,51,146.1,0.447,1,725,0.19,2,1,insufficient_funds
TXN102682,2542.05,wallet,91,492.8,0.182,1,1261,0.87,6,1,bank_timeout
TXN102683,4560.4,upi,5,601.5,0.282,0,406,0.718,10,0,network_error
TXN102684,2380.47,credit_card,51,225.0,0.251,0,196,0.326,4,1,insufficient_funds
TXN102685,1221.78,upi,68,324.6,0.27,0,587,0.653,2,0,bank_timeout
TXN102686,2934.37,netbanking,5,518.3,0.338,0,44,0.501,6,1,network_error
TXN102687,6127.58,debit_card,61,152.5,0.068,2,260,0.329,19,1,insufficient_funds
TXN102688,1681.13,credit_card,96,816.7,0.161,0,170,0.722,23,0,network_error
TXN102689,3294.88,credit_card,51,153.7,0.626,0,12,0.294,15,1,insufficient_funds
TXN102690,909.97,debit_card,96,212.9,0.178,0,1082,0.44,20,0,bank_timeout
TXN102691,1974.06,wallet,96,181.9,0.12,0,660,0.389,13,1,bank_timeout
TXN102692,1997.81,debit_card,5,307.9,0.252,0,224,0.642,19,0,network_error
TXN102693,3948.41,credit_card,5,245.5,0.572,0,650,0.381,18,0,fraud_false_positive
TXN102694,5210.18,debit_card,96,648.7,0.191,0,121,0.567,11,0,network_error
TXN102695,4983.0,credit_card,65,222.8,0.078,2,1034,0.128,23,0,insufficient_funds
TXN102696,2649.14,debit_card,91,238.7,0.225,0,49,0.255,18,0,bank_timeout
TXN102697,1972.87,debit_card,51,205.1,0.198,1,400,0.096,5,0,insufficient_funds
TXN102698,7126.54,credit_card,5,212.6,0.71,0,2,0.627,6,1,fraud_false_positive
TXN102699,1906.35,credit_card,91,268.8,0.017,2,630,0.269,6,0,bank_timeout
TXN102700,1134.24,debit_card,51,215.7,0.282,3,201,0.273,6,0,insufficient_funds
TXN102701,1442.8,upi,96,449.8,0.172,1,1431,0.474,16,1,bank_timeout
TXN102702,1387.7,wallet,63,198.5,0.588,1,1461,0.465,17,0,fraud_false_positive
TXN102703,2329.76,debit_card,96,434.4,0.163,0,2039,0.305,2,0,network_error
TXN102704,873.07,credit_card,96,268.0,0.255,0,595,0.275,3,0,network_error
TXN102705,3829.66,upi,59,208.9,0.643,0,846,0.661,8,0,fraud_false_positive
TXN102706,4795.14,debit_card,51,215.8,0.292,1,773,0.179,16,0,insufficient_funds
TXN102707,897.28,credit_card,68,352.3,0.267,0,679,0.407,22,0,bank_timeout
TXN102708,7771.64,debit_card,51,225.1,0.2,1,161,0.518,4,1,insufficient_funds
TXN102709,2951.11,upi,51,153.8,0.106,1,28,0.545,0,0,insufficient_funds
TXN102710,2460.81,netbanking,96,573.1,0.235,1,728,0.497,3,0,network_error
TXN102711,1550.57,credit_card,96,284.5,0.178,0,1339,0.709,9,0,bank_timeout
TXN102712,1763.11,credit_card,96,649.4,0.172,1,737,0.869,8,1,network_error
TXN102713,1162.32,netbanking,51,93.1,0.189,2,138,0.333,0,0,insufficient_funds
TXN102714,3292.16,credit_card,65,159.1,0.304,1,595,0.14,16,0,insufficient_funds
TXN102715,3292.76,credit_card,51,213.6,0.156,1,198,0.28,3,0,insufficient_funds
TXN102716,6295.21,credit_card,59,144.9,0.902,0,276,0.529,15,0,fraud_false_positive
TXN102717,325.0,wallet,21,520.1,0.162,0,100,0.489,5,1,network_error
TXN102718,1734.3,credit_card,96,437.5,0.023,0,588,0.454,11,0,network_error
TXN102719,1395.01,upi,21,675.8,0.251,0,981,0.89,11,0,network_error
TXN102720,5205.47,wallet,65,127.5,0.222,1,195,0.162,0,1,insufficient_funds
TXN102721,2173.45,credit_card,61,135.8,0.083,2,214,0.251,19,0,insufficient_funds
TXN102722,3411.22,debit_card,96,323.7,0.096,0,92,0.369,11,0,bank_timeout
TXN102723,3904.78,debit_card,91,379.7,0.14,0,428,0.372,9,1,bank_timeout
TXN102724,1308.38,upi,51,242.6,0.235,2,393,0.419,21,0,insufficient_funds
TXN102725,2747.11,debit_card,96,521.4,0.181,2,1328,0.29,2,1,bank_timeout
TXN102726,3140.09,upi,5,358.9,0.431,0,252,0.766,10,1,network_error
TXN102727,2176.57,debit_card,51,171.9,0.07,0,508,0.119,7,1,insufficient_funds
